정제역명,지하철_총하차,위도,경도,주변_버스_하차,주변_상가_수,총_유입_인구,혼잡_가성비_지수
상수,392562,37.5479431112122,126.922936675568,132876.88859940873,953,525438.8885994088,18.137184113301295
송파나루,190172,37.5109644736819,127.112736059519,349632.18285555276,710,539804.1828555528,13.152893350229094
석촌고분,215090,37.5031910142167,127.096946685767,157469.54870214604,395,372559.54870214604,10.602303474590215
공항시장,89494,37.5636056670547,126.810585519612,169696.97659243923,268,259190.97659243923,10.339826237037064
수색,94964,37.5805696334116,126.895838644026,364566.4303796406,449,459530.4303796406,9.770822414237475
당곡,138721,37.4893988,126.9271473,618758.3621076661,723,757479.3621076661,9.54480190071561
경찰병원,215629,37.4982671093405,127.125637604057,120415.10761766954,313,336044.1076176695,9.314225766265618
샛강,282629,37.5171401104498,126.930129249915,454194.76581433066,659,736823.7658143307,8.943781894622942
이태원,459767,37.5345511721489,126.994728611603,401704.20487804874,703,861471.2048780487,8.16044900832892
길동,281214,37.5378115570072,127.13999920444,496510.3060270803,628,777724.3060270803,8.074830472060443
방이,233557,37.5080339296967,127.12545355497,159634.58104280272,316,393191.5810428027,8.036774223000927
중랑,167411,37.5948120749834,127.075787938826,350289.52040064987,414,517700.52040064987,7.996885921439922
문정,630291,37.4881491599168,127.121157265226,221060.92549089578,654,851351.9254908958,7.681890558171269
언주,319748,37.5075032615458,127.034253976201,372734.0907706972,527,692482.0907706972,7.610294128820918
가오리,131550,37.6416638626631,127.016947335858,185446.4827104274,241,316996.4827104274,7.602584031247655
망원,579469,37.5560572923314,126.910033925408,364567.33919554984,717,944036.3391955498,7.595038567128955
마곡,480292,37.5601984535897,126.825547992125,163684.7512210649,489,643976.751221065,7.593430038115336
개화산,173934,37.5723151249238,126.805758404916,52922.30035119341,172,226856.3003511934,7.581858716194282
공릉,390583,37.6257624214235,127.072748334999,196843.96365043198,435,587426.963650432,7.405163303714646
몽촌토성,280681,37.5169850434993,127.110763564037,412326.27602163906,504,693007.2760216391,7.27264042059236
청구,208708,37.560348595358,127.013871322197,283749.450728849,354,492457.450728849,7.188423703077335
역촌,136613,37.6056701445833,126.92345473284,363435.7632225148,359,500048.7632225148,7.1792854712391945
마포,421605,37.5395837885645,126.945920370023,451336.83936870715,614,872941.8393687072,7.033679323654583
서울숲,536636,37.544018851909,127.044874079373,238839.12837613653,544,775475.1283761365,7.015045081260562
충무로,986464,37.5612098161095,126.994329578058,287097.66148918605,878,1273561.661489186,6.894046335916823
신방화,202038,37.5674589792073,126.816015513767,104030.84244031488,211,306068.8424403149,6.8938513614305545
을지로4가,629329,37.5665283029681,126.996543286889,455092.9723545429,746,1084421.972354543,6.87923457007052
삼성중앙,221138,37.5116361356293,127.048498319372,123808.33475083477,235,344946.33475083474,6.8126341712350715
뚝섬,834314,37.5471882244091,127.047365178682,246625.30936250577,725,1080939.3093625058,6.707123360285965
발산,724877,37.5590292668195,126.837310771961,602376.690130183,867,1327253.690130183,6.532280552084248
국회의사당,446702,37.527391784194,126.918559404672,278457.3084440971,466,725159.3084440972,6.426165284747159
중곡,307893,37.5655258842084,127.084072412789,299007.85257233056,389,606900.8525723305,6.409603107178504
굽은다리,282850,37.5460519885973,127.143168017264,212416.6012007384,317,495266.6012007384,6.400580196068908
송정,184736,37.5614792805297,126.810505903064,168632.01137757278,225,353368.0113775728,6.367281588242858
강동,536519,37.5357790488935,127.134127554194,441683.1152331375,608,978202.1152331375,6.215478059023497
마천,197256,37.4944517712179,127.151965102598,217726.53653728118,256,414982.5365372812,6.168919425963819
신당,763652,37.5653254285684,127.016667203663,518412.5036023361,788,1282064.5036023362,6.146331819910017
대흥,328010,37.5477296701945,126.942378522738,355799.91329533287,415,683809.9132953328,6.068929172248595
서초,606805,37.4927950464288,127.010569245266,529823.3673875345,685,1136628.3673875346,6.026590722131577
영등포구청,815111,37.5248125703074,126.896873381779,384915.03410119493,720,1200026.034101195,5.999864832539134
선유도,247876,37.5380543260303,126.893539940684,254170.26112324916,301,502046.2611232492,5.995451490494369
방화,209200,37.5772594115241,126.812668460937,70725.99191785583,167,279925.9919178558,5.9658412665330225
남구로,444778,37.4849197371439,126.886712086858,514518.1462965484,564,959296.1462965484,5.879304469708598
을지로3가,1134544,37.5662107085093,126.990228451524,1008181.755300187,1232,2142725.755300187,5.749683187333898
용답,95951,37.565436491924,127.054455083602,480673.11398356536,330,576624.1139835654,5.722955729767357
먹골,321496,37.6108637621251,127.077717705796,261018.32834867,319,582514.32834867,5.4762507435522725
삼전,235796,37.5046071756966,127.086801609154,334383.741111204,312,570179.741111204,5.471949111994817
4.19민주묘지,120373,37.6494567358653,127.01350634405,275404.1472341148,215,395777.1472341148,5.432336310190996
신답,56488,37.5706955438936,127.045438063504,185122.55214896286,130,241610.55214896286,5.380537430588169
암사,447023,37.5511672958111,127.128208775415,282955.42808946193,392,729978.428089462,5.370014344458468
보라매병원,229902,37.492657,126.9245,460919.20525316376,366,690821.2052531638,5.298034678342063
상계,566679,37.6610577421447,127.073630157913,395406.7875682886,506,962085.7875682886,5.259400778997645
화계,112037,37.6339844422557,127.017324101437,357202.5103614482,245,469239.5103614482,5.2212030843475254
남영,301611,37.5416256847456,126.9712367572,765393.3981175706,556,1067004.3981175707,5.2108452401544065
한성백제,100060,37.5157705224245,127.118079071988,184578.5903458923,146,284638.5903458923,5.129293497878552
증미,209641,37.5575459111161,126.861581966444,258284.87365885507,240,467925.8736588551,5.129006550176758
